customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,income_missing,annual_income_winsor,join_year,join_month,join_day,join_weekday,gender_enc,income_bin,repayment_bin,credit_binary,transaction_quantile,transaction_kmeans,annual_income_std,loan_amount_std,annual_income_minmax,loan_amount_minmax,annual_income_maxabs,loan_amount_maxabs,annual_income_robust,loan_amount_robust,spending_log,spending_sqrt,spending_reciprocal,loan_boxcox,income_boxcox,loan_power,income_power,debt_to_income,avg_monthly_txn,spending_to_income
CUST0001,43.21258134490239,Male,North,Graduate,Salaried,490173.96,557524.62,Home,624.8,0,8,0.1343,2017-08-10,0,0,490173.96,2017,8,10,3,1,Low,Poor,0.0,Q1,0.0,-0.46964388059362033,0.061435963994135125,0.030102487004794783,0.17202361955731718,0.05100430979346072,0.1873030255503909,-0.5472661520266378,0.33824997998892836,0.1260157205828598,0.3664696440361739,0.8816009873931058,0.44059392803379377,-0.8280556765603527,0.44059434075483067,-0.828055969151059,1.137401546177606,0.6666666666666666,2.7398436261281607e-07
CUST0002,43.21258134490239,Female,North,Secondary,Unemployed,749398.72,211485.32,Home,351.0,1,50,0.8127,2021-10-08,1,0,749398.72,2021,10,8,4,0,Low,Poor,0.0,Q2,1.0,-0.2740303487701222,-0.6362840519587196,0.05766981830245316,0.05358441769307137,0.07797754999817395,0.07104949068525906,-0.15295184933807351,-0.6523076925278889,0.5948174464867363,0.9014987520790031,0.5516632647432007,-0.8462793947074518,-0.08805073913559047,-0.8462801560894598,-0.08805083188269897,0.2822066736383003,4.166666666666667,1.084469426368916e-06
CUST0003,40.0,Other,East,Secondary,Unemployed,290421.69,629801.26,Car,776.6,6,40,0.4581,2019-02-03,1,0,290421.69,2019,2,3,6,2,Low,Average,1.0,Q2,0.0,-0.6203788914948204,0.2071675569485156,0.00885977467843634,0.19676181419309824,0.030219389556108634,0.21158470363774856,-0.8511151248466255,0.5451460761714599,0.3771342183401026,0.6768308503607087,0.6858240175570949,0.606459856336619,-1.8751991516563498,0.6064603559237219,-1.8751990774225187,2.168575150154935,3.3333333333333335,1.5773615255802692e-06
CUST0004,62.0,Female,South,Secondary,Self-Employed,693292.07,529999.82,Education,763.6,12,12,0.2561,2015-05-12,0,0,693292.07,2015,5,12,1,0,Low,Good,1.0,Q1,0.0,-0.3163689740051687,0.005937632171422588,0.05170314054932586,0.162602679960361,0.0721394574196264,0.17805593917478044,-0.23829730233778446,0.2594586351200336,0.22801168271107028,0.5060632371551999,0.7961149590000797,0.3719707134095498,-0.2169798244064792,0.3719710819994813,-0.2169799648448056,0.7644683141983724,1.0,3.6939698444841583e-07
CUST0005,35.0,Other,West,Post-Graduate,Unemployed,1106149.11,234970.63,Education,710.9,6,119,0.5752,2019-01-22,1,1,1106149.11,2019,1,22,1,2,Low,Average,1.0,Q4,2.0,-0.004823025490855317,-0.5889305552089061,0.0956085406363029,0.061622757187846655,0.11509867208001187,0.07893949134386469,0.3897115184155447,-0.5850796233116584,0.45438224834277874,0.7584194090343417,0.6348400203148806,-0.70920264241067,0.5151178903389652,-0.7092032887327183,0.5151180314976563,0.2124222022833793,9.916666666666666,5.200022264629404e-07
CUST0006,62.0,Male,West,Primary,Self-Employed,696105.07,446835.76,Home,674.2,1,92,0.8463,2023-06-03,0,0,696105.07,2023,6,3,5,1,Low,Poor,0.0,Q4,2.0,-0.3142462567731439,-0.1617462964167584,0.05200228983946431,0.13413803767785076,0.07243215987866564,0.1501165809899271,-0.2340183664311105,0.021396664382464514,0.6131836364195604,0.919945650568554,0.541623788116774,0.14178283130479621,-0.21019921825266927,0.1417830218453368,-0.21019935626424846,0.6419084980949787,7.666666666666667,1.215764740802707e-06
CUST0007,43.21258134490239,Other,South,Primary,Unemployed,587978.23,506727.66,Car,596.7,12,72,0.8766,2021-09-19,1,0,587978.23,2021,9,19,6,2,Low,Good,0.0,Q3,1.0,-0.39583982467658907,-0.040986089632596125,0.040503510091538616,0.15463729551975838,0.06118118513421377,0.17023754726395723,-0.3984932395740848,0.19284072020678833,0.6294616288738123,0.9362691920596341,0.5328786102525844,0.31124147778913264,-0.499738677936061,0.3112418036746048,-0.49973890800604004,0.8618136423180157,6.0,1.4908715242739517e-06
CUST0008,25.0,Male,North,Primary,Unemployed,831787.6,620451.62,Car,662.9,8,26,0.2886,2021-10-20,1,0,831787.6,2021,10,20,2,1,Low,Average,0.0,Q1,0.0,-0.21185889647604983,0.1883158514631749,0.0664314873274453,0.1935617039763742,0.08655040025536889,0.20844364798390685,-0.02762773382344519,0.5183821865286646,0.25355635772240503,0.5372150407425317,0.7760360080707746,0.5860589671158143,0.0802609566678151,0.5860594576197234,0.08026092960311261,0.7459255463774647,2.1666666666666665,3.4696357579747525e-07
CUST0009,43.21258134490239,Other,East,Post-Graduate,Unemployed,786931.98,2330882.28,Other,421.1,1,95,0.618,2017-07-26,1,0,786931.98,2017,7,26,2,2,Low,Poor,0.0,Q4,2.0,-0.24570738475445633,3.6370620123225104,0.061661303579944204,0.778992440353818,0.08188301658109588,0.7830708951396503,-0.0958589186916006,5.414589679640006,0.4811908186363,0.7861297602813418,0.6180469715698393,2.4460118184431274,-0.008557648460538124,2.446010644063586,-0.00855771051857777,2.9619869813906914,7.916666666666667,7.853283583671361e-07
CUST0010,56.0,Male,West,Secondary,Self-Employed,1249746.1,122698.11,Business,526.1,11,11,0.656,2022-03-31,1,0,1249746.1,2022,3,31,3,1,Low,Good,0.0,Q1,0.0,0.1035366635030646,-0.8153059537415792,0.11087940363826514,0.023195134486934995,0.1300404396177417,0.04122100873736244,0.6081410657320384,-0.9064662580054572,0.504405055963068,0.8099382692526635,0.6038647342995168,-1.5446260709761725,0.6906025968659452,-1.5446269162710342,0.690602797021465,0.09817843000270214,0.9166666666666666,5.249066190324579e-07
